Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Residencia del viajero;Periodo;Total
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Residentes en España;2019;242.000
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;Residentes en España;2018;187.000
Total Nacional;14 Murcia, Región de;;Total ;2022;1.367.000
Total Nacional;14 Murcia, Región de;;Total ;2021;932.000
Total Nacional;14 Murcia, Región de;;Total ;2020;604.000
Total Nacional;14 Murcia, Región de;;Total ;2019;1.289.000
Total Nacional;14 Murcia, Región de;;Total ;2018;1.144.000
Total Nacional;14 Murcia, Región de;;Residentes en el Extranjero;2022;628.000
Total Nacional;14 Murcia, Región de;;Residentes en el Extranjero;2021;280.000
Total Nacional;14 Murcia, Región de;;Residentes en el Extranjero;2020;172.000
Total Nacional;14 Murcia, Región de;;Residentes en el Extranjero;2019;656.000
Total Nacional;14 Murcia, Región de;;Residentes en el Extranjero;2018;619.000
Total Nacional;14 Murcia, Región de;;Residentes en España;2022;741.000
Total Nacional;14 Murcia, Región de;;Residentes en España;2021;652.000
Total Nacional;14 Murcia, Región de;;Residentes en España;2020;432.000
Total Nacional;14 Murcia, Región de;;Residentes en España;2019;634.000
Total Nacional;14 Murcia, Región de;;Residentes en España;2018;525.000
Total Nacional;14 Murcia, Región de;30 Murcia;Total ;2022;1.369.000
Total Nacional;14 Murcia, Región de;30 Murcia;Total ;2021;932.000
Total Nacional;14 Murcia, Región de;30 Murcia;Total ;2020;604.000
Total Nacional;14 Murcia, Región de;30 Murcia;Total ;2019;1.289.000
Total Nacional;14 Murcia, Región de;30 Murcia;Total ;2018;1.144.000
Total Nacional;14 Murcia, Región de;30 Murcia;Residentes en el Extranjero;2022;627.000
Total Nacional;14 Murcia, Región de;30 Murcia;Residentes en el Extranjero;2021;280.000
Total Nacional;14 Murcia, Región de;30 Murcia;Residentes en el Extranjero;2020;172.000
Total Nacional;14 Murcia, Región de;30 Murcia;Residentes en el Extranjero;2019;656.000
Total Nacional;14 Murcia, Región de;30 Murcia;Residentes en el Extranjero;2018;619.000
Total Nacional;14 Murcia, Región de;30 Murcia;Residentes en España;2022;742.000
Total Nacional;14 Murcia, Región de;30 Murcia;Residentes en España;2021;652.000
Total Nacional;14 Murcia, Región de;30 Murcia;Residentes en España;2020;432.000
Total Nacional;14 Murcia, Región de;30 Murcia;Residentes en España;2019;634.000
Total Nacional;14 Murcia, Región de;30 Murcia;Residentes en España;2018;525.000
Total Nacional;13 Madrid, Comunidad de;;Total ;2022;7.573.000
Total Nacional;13 Madrid, Comunidad de;;Total ;2021;3.861.000
Total Nacional;13 Madrid, Comunidad de;;Total ;2020;2.667.000
